7+8,15
2+10,12
4+6,10
5+7,12
3+1,4
9+2,11
6+6,12
8+1,9
3+9,12
5+5,10
7+4,11
1+7,8
2+3,5
10+8,18
9+3,12
4+1,5
6+2,8
5+10,15
8+7,15
3+5,8
4+9,13
1+6,7
7+3,10
2+5,7
9+6,15
10+3,13
4+2,6
5+9,14
8+4,12
7+1,8
6+7,13
3+6,9
10+5,15
2+8,10
4+4,8
9+7,16
5+1,6
8+2,10
7+5,12
3+10,13
6+1,7
10+6,16
9+4,13
4+5,9
7+2,9
8+3,11
6+9,15
5+4,9
10+7,17
2+1,3
9+5,14
4+8,12
7+6,13
3+2,5
10+9,19
8+5,13
6+4,10
5+3,8
7+10,17
9+1,10
4+7,11
8+6,14
2+9,11
3+8,11
5+2,7
7+9,16
10+1,11
4+3,7
6+10,16
8+9,17
2+6,8
9+8,17
5+6,11
3+7,10
7+7,14
10+4,14
4+10,14
9+10,19
6+3,9
8+8,16
5+7,12
2+7,9
3+4,7
10+2,12
9+9,18
4+6,10
6+8,14
8+10,18
7+8,15
3+5,8
9+2,11
5+8,13
10+10,20
4+9,13
6+5,11
8+1,9
2+5,7
3+6,9
7+3,10
9+4,13
5+4,9
6+1,7
8+2,10
2+3,5
10+6,16
4+8,12
7+1,8
9+5,14
5+3,8
3+7,10
6+2,8
8+9,17
2+10,12
4+1,5
9+7,16
7+6,13
5+1,6
3+8,11
6+9,15
8+7,15
2+4,6
9+1,10
4+10,14
7+5,12
5+10,15
6+4,10
8+3,11
10+5,15
2+8,10
4+5,9
7+2,9
9+3,12
5+9,14
3+9,12
6+7,13
8+6,14
2+9,11
4+3,7
10+4,14
7+4,11
5+2,7
9+8,17
6+10,16
8+5,13
2+6,8
4+7,11
7+10,17
9+6,15
5+6,11
3+10,13
8+4,12
6+8,14
10+3,13
2+7,9
4+2,6
9+10,19
7+3,10
5+7,12
8+8,16
6+3,9
3+4,7
9+9,18
4+6,10
10+2,12
7+9,16
5+8,13
8+10,18
6+5,11
3+5,8
9+2,11
4+9,13
7+8,15
5+1,6
2+5,7
8+1,9
6+4,10
3+6,9
10+7,17
4+8,12
9+5,14
7+1,8
5+10,15
2+1,3
8+6,14
6+9,15
3+7,10
10+9,19
4+10,14
9+4,13
7+2,9
5+4,9
8+3,11
6+1,7
3+8,11
10+8,18
2+3,5
9+7,16
4+1,5
7+6,13
5+3,8
8+2,10
6+7,13
3+9,12
10+6,16
4+2,6
9+6,15
7+5,12
5+9,14
8+4,12
6+10,16
2+8,10
10+10,20
9+1,10
7+4,11
5+6,11
8+9,17
6+3,9
3+10,13
9+8,17
4+7,11
7+3,10
5+2,7
8+7,15
6+8,14
2+10,12
10+5,15
9+5,14
4+3,7
7+10,17
5+8,13
8+6,14
6+4,10
3+7,10
10+4,14
9+9,18
4+9,13
7+8,15
5+7,12
2+6,8
8+10,18
6+5,11
3+6,9
10+3,13
9+2,11
4+10,14
7+1,8
5+4,9
8+1,9
6+9,15
3+5,8
9+10,19
4+2,6
7+9,16
5+10,15
8+2,10
6+7,13
3+9,12
10+2,12
9+7,16
4+8,12
7+6,13
5+3,8
8+5,13
6+10,16
2+9,11
10+1,11
9+6,15
4+7,11
7+2,9
5+1,6
8+4,12
6+8,14
3+8,11
10+8,18
9+1,10
4+6,10
7+5,12
5+2,7
8+3,11
6+5,11
3+10,13
10+7,17
9+5,14
4+1,5
7+3,10
5+9,14
8+9,17
6+4,10
2+5,7
10+6,16
9+8,17
4+10,14
7+1,8
5+7,12
8+7,15
6+3,9
3+7,10
10+4,14
9+3,12
4+9,13
7+10,17
5+4,9
8+6,14
6+10,16
2+8,10
3+6,9
